"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         241,      -6.791709651,      -7.321383381,      -7.325584253,      -6.240786448
          0,           0,         242,      -6.806911293,      -7.344075794,      -7.339019578,      -6.256419736
          0,           0,         243,       -6.82188439,      -7.366715912,      -7.351318243,      -6.271793394
          0,           0,         244,       -6.83667417,      -7.389080668,      -7.362734156,      -6.286935512
          0,           0,         245,      -6.851309992,      -7.410950069,      -7.373773987,      -6.301864017
          0,           0,         246,      -6.865854535,      -7.432168609,      -7.384888722,      -6.316641608
          0,           0,         247,      -6.880328206,      -7.452616914,       -7.39626452,      -6.331287394
          0,           0,         248,      -6.894766644,      -7.472152114,      -7.407921737,      -6.345842093
          0,           0,         249,      -6.909189419,       -7.49067748,      -7.419900698,      -6.360325806
          0,           0,         250,      -6.923559796,      -7.508180799,       -7.43233023,      -6.374705685
          0,           0,         251,      -6.937848687,      -7.524699756,      -7.445269031,      -6.388966177
          0,           0,         252,      -6.952058214,      -7.540349162,      -7.458714784,      -6.403119313
          0,           0,         253,      -6.966173625,      -7.555241167,      -7.472607072,      -6.417152664
          0,           0,         254,      -6.980192269,      -7.569541835,      -7.486957581,      -6.431076462
          0,           0,         255,      -6.994065767,        -7.5834387,      -7.501799536,      -6.444849784
          0,           0,         256,      -7.007768053,      -7.597112542,      -7.517050775,      -6.458461478
          0,           0,         257,      -7.021285984,      -7.610762138,      -7.532437644,      -6.471907547
          0,           0,         258,      -7.034604473,      -7.624546877,      -7.547749158,      -6.485176913
          0,           0,         259,       -7.04774258,      -7.638581942,      -7.562823435,      -6.498293991
          0,           0,         260,      -7.060721846,      -7.652936536,      -7.577605527,      -6.511277465
          0,           0,         261,      -7.073556588,      -7.667622428,      -7.592107582,      -6.524138556
          0,           0,         262,      -7.086257939,       -7.68261102,       -7.60630219,      -6.536890937
          0,           0,         263,       -7.09884378,       -7.69783054,      -7.620010318,      -6.549552514
          0,           0,         264,      -7.111358835,      -7.713154447,      -7.633173212,      -6.562158676
          0,           0,         265,      -7.123837119,      -7.728419843,       -7.64580356,      -6.574733512
          0,           0,         266,      -7.136283269,      -7.743527306,      -7.657917036,      -6.587275647
          0,           0,         267,      -7.148736545,      -7.758402431,      -7.669683037,      -6.599819351
          0,           0,         268,      -7.161213541,      -7.772933739,      -7.681292664,      -6.612370173
          0,           0,         269,      -7.173730769,       -7.78700573,      -7.692843416,      -6.624936862
          0,           0,         270,      -7.186286963,      -7.800475242,      -7.704448819,      -6.637512221
          0,           0,         271,      -7.198884423,      -7.813210317,      -7.716211352,      -6.650096877
          0,           0,         272,      -7.211532914,      -7.825132445,      -7.728214074,      -6.662698383
          0,           0,         273,      -7.224241614,      -7.836196044,      -7.740478955,      -6.675322199
          0,           0,         274,      -7.237007198,      -7.846370423,      -7.753078607,      -6.687967595
          0,           0,         275,      -7.249804785,      -7.855692271,      -7.766003103,      -6.700614846
          0,           0,         276,      -7.262625751,      -7.864261425,      -7.779259279,      -6.713263656
          0,           0,         277,       -7.27547174,      -7.872202781,       -7.79288971,      -6.725919263
          0,           0,         278,      -7.288344152,      -7.879650164,      -7.806925855,      -6.738585741
          0,           0,         279,       -7.30123475,      -7.886736846,      -7.821360647,      -6.751260153
          0,           0,         280,      -7.314134216,      -7.893596226,      -7.836146582,      -6.763942965
          0,           0,         281,       -7.32704958,      -7.900384611,      -7.851098563,      -6.776646984
          0,           0,         282,      -7.340008476,      -7.907254623,      -7.866267647,      -6.789399958
          0,           0,         283,      -7.353014629,      -7.914337661,      -7.881626641,       -6.80221006
          0,           0,         284,      -7.366058443,      -7.921759235,        -7.8970578,      -6.815074882
          0,           0,         285,      -7.379128567,      -7.929604152,      -7.912467158,      -6.827981719
          0,           0,         286,      -7.392240961,      -7.937978974,       -7.92788892,      -6.840950593
          0,           0,         287,      -7.405406972,      -7.946989374,      -7.943298058,      -6.853996125
          0,           0,         288,      -7.418638673,      -7.956712788,      -7.958619325,      -6.867131587
          0,           0,         289,      -7.431947832,      -7.967207182,      -7.973769865,      -6.880368387
          0,           0,         290,        -7.4453435,      -7.978529094,      -7.988691267,      -6.893715833
          0,           0,         291,      -7.458833851,      -7.990735863,      -8.003353675,      -6.907183458
          0,           0,         292,      -7.472431558,      -8.003885809,      -8.017735907,      -6.920785352
          0,           0,         293,      -7.486151433,      -8.018024895,         -8.031777,      -6.934535229
          0,           0,         294,      -7.500010454,      -8.033189686,       -8.04554804,      -6.948448179
          0,           0,         295,      -7.514025481,       -8.04940947,      -8.059089759,      -6.962540275
          0,           0,         296,       -7.52822912,      -8.066701995,      -8.072432423,      -6.976844964
          0,           0,         297,      -7.542630183,      -8.085102892,      -8.085481313,      -6.991367928
          0,           0,         298,      -7.557219639,      -8.104642366,      -8.098340179,      -7.006097291
          0,           0,         299,      -7.572011219,      -8.125359401,      -8.111096719,      -7.021047771
          0,           0,         300,      -7.587011901,      -8.147270401,       -8.12380213,      -7.036224791
          0,           0,         301,      -7.602228915,         -8.170361,      -8.136498507,      -7.051633056
          0,           0,         302,      -7.617675995,      -8.194594086,      -8.149210369,      -7.067284445
          0,           0,         303,      -7.633319361,      -8.219900436,       -8.16196198,      -7.083140231
          0,           0,         304,      -7.649143192,      -8.246203912,      -8.174884788,       -7.09918434
          0,           0,         305,      -7.665139084,      -8.273390121,      -8.188080876,      -7.115403273
          0,           0,         306,      -7.681281906,      -8.301288638,      -8.201586217,      -7.131765908
          0,           0,         307,      -7.697533907,      -8.329653487,      -8.215387805,      -7.148231007
          0,           0,         308,      -7.713857458,      -8.358161425,      -8.229477253,       -7.16475848
          0,           0,         309,      -7.730212941,      -8.386434049,      -8.243876465,      -7.181303124
          0,           0,         310,      -7.746552083,      -8.414049545,      -8.258641507,      -7.197808432
          0,           0,         311,       -7.76280184,        -8.4405218,      -8.273769688,      -7.214196441
          0,           0,         312,      -7.778862969,      -8.465286568,      -8.289190736,      -7.230368348
          0,           0,         313,      -7.794676847,      -8.487842159,      -8.304882334,      -7.246263838
          0,           0,         314,      -7.810184293,      -8.507744137,      -8.320851845,      -7.261816532
          0,           0,         315,      -7.825314789,      -8.524677047,      -8.337070536,      -7.276951043
          0,           0,         316,      -7.840000413,      -8.538505374,      -8.353444818,      -7.291599078
          0,           0,         317,      -7.854172519,      -8.549282724,      -8.369865073,      -7.305691531
          0,           0,         318,      -7.867784501,       -8.55727635,      -8.386215453,      -7.319183999
          0,           0,         319,      -7.880775883,      -8.562905525,      -8.402416633,      -7.332015558
          0,           0,         320,      -7.893173633,      -8.566708416,      -8.418413778,       -7.34422572
          0,           0,         321,      -7.904987507,      -8.569224605,      -8.434059896,      -7.355830232
          0,           0,         322,      -7.916250018,      -8.570951064,      -8.449230624,      -7.366865963
          0,           0,         323,      -7.927009307,      -8.572336784,      -8.463826882,      -7.377387242
          0,           0,         324,      -7.937324028,       -8.57377813,      -8.477763666,       -7.38746051
          0,           0,         325,      -7.947262311,      -8.575605103,      -8.490966494,      -7.397161095
          0,           0,         326,      -7.956902763,      -8.578076532,      -8.503382103,      -7.406573205
          0,           0,         327,      -7.966330498,       -8.58138631,      -8.514988203,      -7.415785828
          0,           0,         328,      -7.975626667,      -8.585673906,       -8.52579893,      -7.424883687
          0,           0,         329,      -7.984874269,      -8.591038205,      -8.535847671,      -7.433954154
          0,           0,         330,      -7.994148961,      -8.597540174,      -8.545211953,      -7.443074724
