"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         142,      -6.363530908,      -6.177566109,      -6.489936539,      -6.272046634,      -5.767926577,        -8.1101947
          0,           0,         143,      -6.364237118,      -6.182414754,      -6.490891467,      -6.279012303,      -5.767405982,      -8.107744396
          0,           0,         144,      -6.363629273,      -6.182718526,      -6.490793129,      -6.261076336,      -5.766407181,      -8.105486487
          0,           0,         145,      -6.346445194,      -6.180710083,      -6.487600509,      -6.265994254,      -5.750151967,      -8.103436599
          0,           0,         146,      -6.356127537,      -6.187896385,      -6.484777075,      -6.262838743,       -5.76172247,      -8.101385757
          0,           0,         147,      -6.343375616,      -6.174990053,      -6.476579944,      -6.260298655,      -5.749916374,      -8.099025578
          0,           0,         148,      -6.331837955,      -6.162817383,      -6.473937189,      -6.260701813,      -5.739299376,      -8.096183594
          0,           0,         149,      -6.333017536,       -6.18798846,      -6.469460487,      -6.242246822,      -5.739800075,      -8.092938335
          0,           0,         150,      -6.340246567,       -6.20672672,      -6.472648763,      -6.249963382,      -5.747088848,      -8.089612726
          0,           0,         151,      -6.349028078,      -6.214372007,      -6.480235101,      -6.245067594,       -5.75559185,      -8.086574192
          0,           0,         152,       -6.34815944,      -6.213424313,      -6.477627862,      -6.251331693,      -5.755350374,      -8.084001055
          0,           0,         153,      -6.357531767,      -6.227096793,      -6.477692831,      -6.241194097,      -5.765034129,      -8.081790504
          0,           0,         154,      -6.349200037,      -6.223953234,      -6.468333107,      -6.229516697,      -5.754915423,      -8.079666948
          0,           0,         155,      -6.355792793,      -6.222765748,      -6.469317493,      -6.239798786,      -5.760962819,      -8.077328596
          0,           0,         156,      -6.357775143,      -6.226614348,      -6.473543569,      -6.232604851,      -5.761264642,      -8.074560362
          0,           0,         157,      -6.361467878,      -6.231675865,      -6.476105628,      -6.242246951,      -5.764880637,      -8.071362648
          0,           0,         158,       -6.36897639,      -6.240649574,      -6.482618977,      -6.234964637,      -5.773055595,      -8.067958929
          0,           0,         159,      -6.369608714,      -6.235227077,       -6.48357049,      -6.250942286,      -5.774516885,      -8.064636848
          0,           0,         160,      -6.383337482,      -6.242597371,      -6.486172081,      -6.250355655,      -5.789053476,      -8.061630345
          0,           0,         161,      -6.371848034,        -6.2440092,      -6.488047859,       -6.24935852,      -5.775968963,       -8.05901742
          0,           0,         162,      -6.380155862,      -6.250825042,       -6.49381426,      -6.247450069,      -5.784051219,       -8.05675406
          0,           0,         163,      -6.372772353,       -6.24777978,      -6.496278332,      -6.241673778,      -5.776357782,       -8.05463973
          0,           0,         164,      -6.376996083,      -6.250617388,      -6.493985871,      -6.243949562,      -5.781068497,      -8.052469825
          0,           0,         165,      -6.373998398,      -6.257396701,      -6.489771203,      -6.232736352,      -5.778157611,      -8.050090427
          0,           0,         166,      -6.372228168,      -6.258337876,      -6.486848057,      -6.242316284,      -5.776410456,      -8.047448809
          0,           0,         167,       -6.38192659,      -6.271130788,      -6.490537229,      -6.235951166,      -5.784985112,      -8.044649751
          0,           0,         168,      -6.384725979,      -6.275831525,      -6.500322011,      -6.246460536,      -5.787065367,      -8.041863506
          0,           0,         169,      -6.393123623,      -6.274336091,       -6.51113208,      -6.236496501,      -5.795138983,      -8.039253445
          0,           0,         170,      -6.378048997,      -6.271126188,      -6.508858223,      -6.229699873,      -5.779186195,       -8.03686583
          0,           0,         171,      -6.392687029,      -6.280052845,      -6.513840169,      -6.248861661,      -5.795211012,        -8.0346989
          0,           0,         172,      -6.399142996,      -6.284636663,      -6.515800663,      -6.251245674,      -5.801438215,      -8.032648028
          0,           0,         173,      -6.411122837,      -6.292956121,      -6.520851734,      -6.261037245,      -5.812760168,      -8.030558549
          0,           0,         174,      -6.404588607,      -6.282243668,      -6.525579398,      -6.246191103,      -5.804894447,      -8.028321541
          0,           0,         175,        -6.3963224,      -6.280651976,       -6.52759872,      -6.260958514,      -5.796117051,      -8.025873933
          0,           0,         176,      -6.415654303,       -6.27903476,      -6.531799636,       -6.26137735,      -5.816563615,      -8.023213485
          0,           0,         177,      -6.415823861,        -6.2978772,      -6.533988604,       -6.26653765,      -5.815940189,      -8.020408298
          0,           0,         178,      -6.433481092,      -6.305500866,      -6.538104042,       -6.26566957,       -5.83326061,      -8.017565136
          0,           0,         179,      -6.426010041,      -6.315401117,      -6.542450438,        -6.2631742,       -5.82453957,      -8.014803336
          0,           0,         180,      -6.436688002,      -6.314608562,      -6.551777155,      -6.265670103,      -5.833806194,      -8.012221512
          0,           0,         181,      -6.420044352,      -6.309766956,      -6.556753918,      -6.254461984,      -5.816638721,      -8.009862218
          0,           0,         182,      -6.416075375,      -6.295577388,      -6.556695743,      -6.259921121,      -5.813135931,      -8.007681214
          0,           0,         183,       -6.41341363,      -6.306061156,      -6.553795655,      -6.253879835,      -5.811558285,      -8.005630374
          0,           0,         184,      -6.421834032,      -6.293844661,      -6.552921692,      -6.272866313,      -5.820719115,      -8.003652542
          0,           0,         185,      -6.425252242,      -6.305918524,      -6.558709983,      -6.258050129,      -5.822499311,      -8.001698826
          0,           0,         186,      -6.400715169,      -6.290139989,      -6.552342002,      -6.247928854,       -5.79780527,       -7.99971839
          0,           0,         187,      -6.412257962,       -6.31008368,      -6.560184891,      -6.249002356,      -5.808204316,      -7.997676507
          0,           0,         188,       -6.40311339,      -6.290419784,      -6.562554796,      -6.255062953,      -5.799811827,      -7.995566628
          0,           0,         189,      -6.422487843,      -6.306321878,      -6.577031611,      -6.280548976,      -5.821172489,       -7.99340181
          0,           0,         190,      -6.418576262,      -6.289188072,      -6.571682087,      -6.264802557,      -5.818036642,      -7.991277196
          0,           0,         191,      -6.398932254,      -6.269069699,      -6.566393322,      -6.278523113,      -5.798730226,      -7.989220954
          0,           0,         192,      -6.414322499,      -6.273069013,      -6.579440675,      -6.284565994,      -5.813383037,      -7.987252829
          0,           0,         193,      -6.433449749,      -6.317869321,      -6.590609067,      -6.294395152,      -5.832559905,      -7.985386755
          0,           0,         194,      -6.457557137,      -6.359750263,      -6.595985952,      -6.280865916,      -5.856514637,      -7.983612761
