"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,         206,      -9.790536633,      -9.499399799,      -10.02031013,      -10.28058249
          0,           0,         207,       -9.81743378,      -9.528205021,      -10.04403036,      -10.30741278
          0,           0,         208,      -9.844467826,      -9.557376984,      -10.06815784,      -10.33456132
          0,           0,         209,       -9.87156189,      -9.586806432,      -10.09262884,      -10.36193019
          0,           0,         210,      -9.898650303,      -9.616383892,      -10.11737375,       -10.3894208
          0,           0,         211,      -9.925681121,      -9.646004565,      -10.14232022,      -10.41693814
          0,           0,         212,       -9.95261708,      -9.675572577,      -10.16739651,      -10.44439457
          0,           0,         213,      -9.979434955,      -9.705004208,      -10.19253467,      -10.47171281
          0,           0,         214,      -10.00612353,      -9.734229841,      -10.21767342,      -10.49882808
          0,           0,         215,      -10.03268058,      -9.763194593,      -10.24276014,      -10.52568921
          0,           0,         216,      -10.05910947,       -9.79185774,      -10.26775213,      -10.55225882
          0,           0,         217,      -10.08541573,       -9.82019116,      -10.29261685,      -10.57851251
          0,           0,         218,        -10.111604,       -9.84817708,      -10.31733121,       -10.6044373
          0,           0,         219,      -10.13767556,      -9.875805406,      -10.34188037,      -10.63002945
          0,           0,         220,       -10.1636265,      -9.903070873,      -10.36625588,      -10.65529192
          0,           0,         221,      -10.18944641,       -9.92997024,      -10.39045381,      -10.68023168
          0,           0,         222,      -10.21511765,      -9.956499679,      -10.41447275,      -10.70485711
          0,           0,         223,      -10.24061502,       -9.98265248,      -10.43831203,      -10.72917569
          0,           0,         224,      -10.26590587,      -10.00841716,      -10.46197023,      -10.75319202
          0,           0,         225,       -10.2909505,      -10.03377607,      -10.48544392,      -10.77690638
          0,           0,         226,      -10.31570292,      -10.05870443,      -10.50872682,      -10.80031362
          0,           0,         227,      -10.34011187,      -10.08317002,      -10.53180917,      -10.82340258
          0,           0,         228,      -10.36412213,      -10.10713326,      -10.55467758,      -10.84615593
          0,           0,         229,      -10.38767608,      -10.13054794,        -10.577315,      -10.86855032
          0,           0,         230,      -10.41071539,      -10.15336235,      -10.59970112,       -10.8905569
          0,           0,         231,      -10.43318302,      -10.17552108,      -10.62181298,      -10.91214219
          0,           0,         232,       -10.4550252,      -10.19696715,      -10.64362582,      -10.93326925
          0,           0,         233,      -10.47619366,      -10.21764475,      -10.66511413,      -10.95389917
          0,           0,         234,      -10.49664772,      -10.23750225,      -10.68625287,      -10.97399286
          0,           0,         235,      -10.51635643,      -10.25649564,       -10.7070188,      -10.99351328
          0,           0,         236,      -10.53530044,      -10.27459192,      -10.72739172,      -11.01242776
          0,           0,         237,      -10.55347348,      -10.29177243,      -10.74735574,      -11.03071055
          0,           0,         238,      -10.57088341,      -10.30803558,      -10.76690038,      -11.04834542
          0,           0,         239,      -10.58755256,      -10.32339891,      -10.78602135,      -11.06532785
