"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
75, 1.314399987460000e-01, -5.760598372871038e-02, 7.249469536802198e-01, -7.915363749399081e-01, 2.098750434121516e-01, 1.834630277449004e-01, 0.000000000000000e+00, 0.000000000000000e+00, -4.267150913422693e-02
76, 1.209499984980000e-01, -5.644814166002606e-02, 7.149658111945022e-01, -7.788629869861476e-01, 2.361593512043219e-01, 1.802719895802521e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.255696130441110e-02
77, 1.108499988910000e-01, -5.517969428826955e-02, 6.461016946112558e-01, -7.096569974198498e-01, 2.544179184729867e-01, 1.625970271755550e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.240074085335563e-01
78, 1.011300012470000e-01, -5.379494442463504e-02, 5.375334171927656e-01, -6.020066031889447e-01, 2.643355881823863e-01, 1.355881582167788e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.446764507660580e-01
79, 9.181000292300000e-02, -5.229224571569416e-02, 4.385115012882070e-01, -5.023690601813765e-01, 2.748359008885576e-01, 1.113245534913223e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.857013971819225e-02
80, 8.290000259900000e-02, -5.066923638367246e-02, 3.863957263568523e-01, -4.460549878738191e-01, 2.967512145371876e-01, 9.863139970575810e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.484259187749966e-03
81, 7.440000027400000e-02, -4.892193926558290e-02, 3.727123659620201e-01, -4.250492986867903e-01, 3.308882244890911e-01, 9.515208235170083e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.802945823814626e-02
82, 6.633000075800000e-02, -4.705088392899102e-02, 3.599488318472178e-01, -4.034692045337652e-01, 3.677354923913146e-01, 9.175466661268131e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.002589959108009e-02
83, 5.869000032500000e-02, -4.505294997357086e-02, 3.254152839018425e-01, -3.589608737072459e-01, 3.994126405108225e-01, 8.300387520631439e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.111308925555549e-02
84, 5.149000138000000e-02, -4.292777611469955e-02, 2.750660776435776e-01, -2.963726654808696e-01, 4.271339315490434e-01, 7.042081646279687e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.376354779849813e-02
85, 4.473999887700000e-02, -4.067603442101789e-02, 2.214021572731975e-01, -2.270904217156714e-01, 4.551711954850077e-01, 5.705852800841835e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.369777059773365e-02
86, 3.844000026600000e-02, -3.829570883810793e-02, 1.664947694522133e-01, -1.527217529777594e-01, 4.835051158227886e-01, 4.345611195771095e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.636877156482846e-02
87, 3.260000050100000e-02, -3.578889799520842e-02, 1.072713970385711e-01, -6.966719408632456e-02, 5.091986855247979e-01, 2.882988867939271e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.379849628140700e-02
88, 2.723000012300000e-02, -3.315949972469910e-02, 4.282712765212662e-02, 2.377478256516962e-02, 5.298928958842404e-01, 1.296303154169759e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.147919465868855e-02
89, 2.232000045500000e-02, -3.040185167221838e-02, -2.564618923265690e-02, 1.271618922953585e-01, 5.437222847236263e-01, -3.893455425391133e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.795749166585994e-02
